offense_type,Arrest Within 500
ARSON - FREE TEXT,0
ASSAULT - FREE TEXT,3
ASSAULT AND BATTERY,3
ASSAULT BY POINTING A GUN,4
ASSAULT BY STRANGULATION,9
ASSAULT INDIV W/ DISABILITY,2
ASSAULT INFLICT SERIOUS INJ(M),3
ASSAULT ON A FEMALE,54
ASSAULT WITH A DEADLY WEAPON,22
ATT ROBBERY-DANGEROUS WEAPON,0
ATTEMPTED COMMON LAW ROBBERY,0
ATTEMPTED LARCENY (F),1
ATTEMPTED LARCENY (M),0
BURGLARY - FREE TEXT,1
COMMON LAW ROBBERY,3
FELONY LARCENY,7
FIRST DEGREE ARSON,0
FIRST DEGREE BURGLARY,1
FIRST DEGREE FORCIBLE RAPE,0
LARC MERCHANT EXCH STOLEN PROP,0
LARCENY - FREE TEXT,0
LARCENY AFTER BREAK/ENTER,11
LARCENY OF A FIREARM,0
LARCENY OF MOTOR VEHICLE (F),13
MISDEMEANOR LARCENY,84
ROBBERY - FREE TEXT,0
ROBBERY WITH DANGEROUS WEAPON,2
SECOND DEGREE BURGLARY,1
SECOND DEGREE FORCIBLE RAPE,0
SECOND DEGREE RAPE,0
SHOPLIFTING CONCEALMENT GOODS,2
SIMPLE ASSAULT,58
STATUTORY RAPE OF CHILD <= 15,0
